"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Antigua and Barbuda","ATG","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","48.9987574077614","47.6309478732803","44.185818575098","40.6515842165609","41.7874144599821","42.5619227773451","47.4471538199523","43.6785240522237","41.9054921594275","40.987116453665","47.9934220999034","47.7080426033798","48.8719993490113","48.1563982142719","52.7322400358394","55.7557590035125","55.5019283530097","54.6931217558247","66.4338064861355","58.9911812827225","58.448990801166","62.4007952221951","73.6326818683535","72.4473920106601","78.0161821051876","80.3191498698738","87.9381999468642","86.2179462155636","84.2012872931934","82.4399916467306","80.467253860463","79.3762837664314","80.4392764064754","86.1144647135358","88.5301136927171","87.6876605016231","88.978573717449","86.722288079117","88.0056621173949","83.8798459538011","87.5228283717656","86.4690377755437","82.896794427331","92.5398858590499","92.8311290784029","83.2502818353798","79.0342608420336",
"Australia","AUS","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","44.5455639821837","44.1143669985775","47.0352465006465","48.0538657515728","48.5294809656016","46.7586444770199","47.9284747570028","46.8669291048894","46.6808175562327","45.5944312145082","42.5350891453964","42.2695861095286","45.8476250336715","49.7288346513588","44.8037705216772","45.7576905804424","43.9025063288102","40.2878228782288","40.762619099744","40.2486674020867","40.482490677047","39.3027697558414","37.6585351984533","39.5914240763618","39.211438839831","41.9541152342008","41.4957355055103","43.8610030520383","45.6291476421983","52.6881720430108","54.063103065705","53.3023061069217","56.1607817520318","56.5767739161559","59.2265343954464","60.483001153584","62.7331696753496","63.9699601376052","65.5282645441586","69.3641404165601","67.5206398621343","70.1651514131993","70.2326982768036","74.5953282347256","77.2473544374943","78.2575131748516","83.3665724272263","90.4718105339808","97.7256039423242","94.3187877479573","100.459042792971","99.728804783364","101.19446506818","105.455059106318","108.491631141717","113.225861547199","118.315204222111","116.647808132161","113.945951653995","122.940117524787","137.321972035631","139.205450060915","134.369350483084","126.75325891471",
"Austria","AUT","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.5942200369287","54.8495885350318","55.9175834000534","12.3152709813478","11.260336390251","13.7784694930817","10.7290918594431","11.740901202216","16.2908235115195","12.9316251296911","12.9799509806046","14.2847604413775","17.6535586582497","14.6833526495037","18.3235363268822","20.7939232417976","21.1629793146757","23.7888372455655","24.790979277664","26.694780978457","30.6433467346745","33.1542970168781","36.544870094774","39.2035490126885","34.571996388808","32.375295290754","30.04094438261","35.247430493515","40.212967234331","37.1732316986005","31.9654153381323","36.6434463788042",
"Burundi","BDI","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","10.2780437882096","10.3390184268591","9.47058660993065","10.4935581052497","10.5321272613849","10.5485789821547","10.4976199556478","12.3496521829531","12.3998629337729","12.8630143173298","13.5942183563508","10.7197905449632","13.937469619088","13.8867896960522","16.0685575279086","13.5416977282118","11.9132012651102","14.7268449403881","13.3667068757539","15.7213534940094","13.7867158609134","14.3033770201238","14.4885970218876","14.4595290549627","15.3918691268985","15.7366345484687","15.7785308286654","17.0356020349413","16.9075357682664","17.73312870522","23.0052066694014","19.8036143636716","22.3323071075637","18.5863768961494","15.7858820589705","20.4737373737374","17.1728550609034","17.2257816352167","21.2523406830438","24.0243463141909","22.3254125001561","23.2228639248364","26.2748698373922","24.619613407841","25.2588848848776","25.7904621883825","28.2427285653968","26.8059036233174","26.0632712372299","25.8821326116317","26.4537554250312","22.6755408390512","24.2409090602787","27.3380913418029","33.1974121269151","39.6219873879096","46.2535021114587","49.7512255584625","56.620644396704","57.1497714232442",
"Belgium","BEL","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","10.0984227496191","9.74019120072477","9.27200522731756","8.65644974757793","8.68020583584401","8.38965289400141","9.03497239512663","9.94748829903864","10.8744985208416","13.2911326846449","13.4380939040155","13.1524673555089","13.8186461122711","21.9623329383415","18.3545556202394","18.949162632634","18.6150722240255","16.1454713139609","20.4381268862195","21.5016638928642","23.6289007091442","23.2390993858367","24.3230997346458","23.7590663684299","23.5880474072087","20.6179375936953","20.2786268126816","21.7409745379421","25.1156071155851","26.4678661692991","29.6220981137924","26.4909358895432","28.4413709645636","22.873627302817","23.1801804966157","22.1286084617254","19.5070336084605","16.8262822433061","19.1893080035169","17.9977975020232","14.6410436093978","16.7880036917867","14.0338387215601","15.4599715800366","18.5348372060989","20.7109819579844","23.2666022946797","23.9524195587132","25.5234386493141","26.1382333435945","24.8831507282871","26.8619707362547","29.9654302622445","30.9847606493043","29.8320946092057","28.6309908502176","27.9343009114216","27.8216327591835","30.5466451421651","32.7281612646488","33.4262671517398","30.2805248948899",
"Burkina Faso","BFA","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","5.9355351399503","6.32856284125765","6.23632650601526","6.18484782044443","6.21028515606872","5.99715628376444","6.66290295259899","7.00344596564452","7.39043129779654","7.47393196531676","7.26433316160531","9.63166624627252","9.69738479181372","12.0735706867007","13.5215265964661","12.7997737930624","12.7682604922297","12.4326613880456","13.0596613958314","13.203959628781","12.3809399275924","13.1284761577389","14.5424622404988","13.3803705671313","16.193478613476","17.9033210645973","19.0832577811735","18.4877964309622","18.1784041666065","18.1305668248272","18.7615381720288","19.8654620062825","22.1304757143247","23.9702848549793","22.6304264307343","24.6756491490467","21.5261861392885","17.5109436038408","18.6289597846143","16.2839927625652","14.6847701654749","22.69470571933","20.7600330070757","17.9641579126181","18.7747960550847","18.9952949594834","20.8826596935394","24.450580568313","25.6262389906549","25.7564537101449","26.4211963324223","28.2873353776802","30.2894261109739","35.5971028843395","36.5625742997606","41.1011430661806","42.1281649957099","43.1817672363833","46.8446169956733","51.1321303038172","48.698614509138","45.034670336818",
"Bangladesh","BGD","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","13.7283185562234","8.35372754425218","11.4180637610575","14.2546768180605","13.3864442139578","13.906028173072","14.1968893463496","14.0728965183752","14.0575732190524","17.5057063846976","21.104559839838","19.5926033985971","20.1979115796951","20.8107917938397","21.484808836741","22.878190439802","22.4466391322843","24.0087114615132","24.8676501147129","26.2049500333029","28.9521640750639","28.827915737296","25.6338800863882","25.9368786504287","26.2325061615944","27.8851595216238","30.5539892604712","40.2671476674779","42.740177242997","43.9885771769768","45.6229943594212","47.4210681471904","50.4759985553139","50.2819117580457","51.1876270713566","54.8817155926531","58.7459016095395","59.8117683130297","60.7424608294873","61.399914294208","63.3375540979273","64.5065520747659","54.9691444990129","55.8375416123996","54.8325562875275","54.8702535060565","57.7630649896826","56.6372785923275","54.117700850947","51.2185633263359",
"Bulgaria","BGR","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.5305821665439","76.3899402390438","78.9678822348612","79.7028158295282","46.1268016903966","60.2352662542253","31.2494926403493","25.1198165323874","30.0908048481216","35.0458953069311","40.066239654267","40.9402398805097","45.7609660114082","50.4620036597392","53.724229665544","59.8066319263632","66.2925103042015","62.8989652003611","65.223769433968","67.7561581324032","70.1645074084222","74.6848837263894","81.7437226898144","80.8176928164681","82.5791955480068","83.4760233880348","83.4873032057985","84.9437283938171","85.4567762383569","93.833115147029","90.0968830195414","84.564856315988","83.5476635161847",
"Bahrain","BHR","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","30.2662332882713","36.4823932729358","37.5172458496886","32.7565314581073","35.4479663735606","42.379859135738","48.5571321062373","45.9681438153684","49.1014605387876","42.8723972461163","42.6374410920653","51.3111619845463","28.4184999952325","53.7266509197275","49.5733290535713","57.8563201885702","67.8290765172113","66.7803779707291","63.6553475606306","63.7140015936401","51.4680536002516","58.1045531935549","59.1994227760647","57.1836744166884","56.6071875915976","57.8792999483374","57.2063478507164","59.2927463954376","71.0802541913407","69.1241374408433","63.2899505524335","69.806373238915","72.0670555229044","66.3963180784462","58.236755834803","58.5041409673617","58.005487374583","68.8086868825332","69.5995779586855","82.5448098905826","78.0579518903071","72.3253721576967","70.432941928269","72.0192615413165","74.614879226462","82.1252522741472","","","","","","","","",
"Bahamas, The","BHS","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","37.2749211063672","34.0315106580167","32.9961632368329","34.6082247419191","30.9136980175883","32.9696394686907","38.3428379738343","42.5634636349478","39.3548387096774","38.2388274867852","32.2249489186744","31.5434733767693","32.7655099894848","34.2203636824431","35.2435364727609","32.7176522463378","30.452020099626","31.4095045500506","33.0950638575926","34.5470030874055","34.3043762246897","38.7586860391661","42.058267655794","44.3969121904149","51.8402328589909","53.476526541884","55.1706036745407","55.3671377112774","38.9637354793473","41.9728912577087","41.2695685897861","42.9197409264196","43.7205376883153","42.1679150020943","43.7729493161851","46.8311892827287","47.784713608914","49.8168137893727","52.7229303262092","55.9804294128824","60.0142657353866","62.6146504888191","64.3066306474884","62.1986452614641","64.4904764473153","62.0429983850156","58.1147263418124","62.8331866625231","61.3987992336169","60.1803245780688","64.5079260264901","84.0915848286839","76.8529394252742","72.739011519975","",
"Bosnia and Herzegovina","BIH","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.4779157304897","25.1783812772668","27.0364490272354","21.8926628587607","36.2866054945518","36.2690472130266","37.3176723312036","42.702229367494","45.7503518048637","49.3677830561499","53.012614165276","48.7445903658457","51.2493933046102","53.7242906558004","54.9625473876933","56.8579492253314","60.0983429763386","63.1204518979563","64.4586687462568","66.7354662027771","69.5421258679798","71.2722896711044","73.5860915688439","81.3447309820592","80.50915608364","72.866041517703","71.898209755048",
"Belarus","BLR","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.0052992749958","14.7726667380542","14.2499401060264","15.7509625439577","30.9405445617173","16.7029599473111","17.6675021579189","14.9202713314933","14.6089847426956","16.1186162169628","17.6818998315724","19.3194242558835","22.0846831594484","25.2209559379737","23.8546185862172","26.8187235249449","29.4840203724149","36.1910930690491","29.4537701826843","28.8221408448184","29.7152770200673","36.3628960960961","35.7402034226534","37.6825517130442","35.3441046435579","36.0045823827564","33.9302158681815","30.7280369065859","","",
"Belize","BLZ","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","33.1235539102267","31.2069698257544","34.0902421129861","31.5998023715415","21.017094017094","22.590987535954","25.1597264131965","28.2584398245279","26.6282073359738","29.1910894535329","31.9576243980738","32.5586095392078","29.9100723692016","29.2475055996742","30.2289134606598","30.4970691676436","29.5472172351885","28.2206282792057","29.8152272432992","33.2281911971186","34.4113533525298","37.3911724295855","37.201667563206","40.0210447388153","39.5136974273422","42.2864085948158","41.0156268830595","40.9253571701429","43.2686940072099","43.7962981795993","47.2864387185369","50.8493980581102","56.5482442357237","61.9831562203139","59.8836156682133","60.2388415492187","63.9864242657379","60.9168160218915","62.4823309269262","65.5275642119423","65.8477322823855","64.8495463625734","65.7869732024419","66.1006030431688","86.4919590483883","82.0411247513995","72.1879449188534","72.5102002262908",
"Bermuda","BMU","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","9.70082607724939","10.5316091954023","10.9780364182467","12.231520223152","13.1951106297385","13.857938718663","15.7635220125786","14.9515536251253","14.8400706436421","15.0950742484607","15.8351266346631","17.3532575291948","17.0113636363636","14.9406457739791","12.9657830866606","13.9546531443535","18.1142188157389","19.8432975642991","19.2560038296854","18.4362044119277","20.7839365804115","20.3636250363417","27.1189788658715","21.1071215317862","20.9511179003562","12.1420479980102","10.7361999837863","17.8266066226337","18.8431814671335","19.4778509589239","24.4743037788536","29.7776593940152","34.8010262193987","41.8787066387135","46.0375691038907","42.4922259133467","51.0278982209993","54.7179177861923","55.1987792417582","55.4037082624968","52.1769138021437","63.478429025317","56.7448767192623","59.3469065277089","50.0696742124679","51.5273082664293","53.36272918429","60.333265491656","64.207384597071","70.1103985691524","69.7187384776906","71.1065192908019","75.3900148041806","78.6599622330564","84.5230679160052","95.617816112794","92.9693808656143","92.5313009494728","89.7069553267157","86.9940315026614","106.136811233597","102.335242553568","","",
"Brazil","BRA","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","21.9317537396174","21.8578056999365","22.2618824718267","20.3875654892367","18.5705129807228","19.8162299582071","16.3022185674278","18.7586823324962","19.3520938598711","19.3494055322413","19.4081470928611","20.1319326422213","18.7546455329118","18.1699446212164","16.9096613214884","17.1507371368301","15.3002233080735","14.5207866587508","14.5690962575126","15.2988406764672","11.7686507130263","11.5299152374023","10.4682104319165","10.9858330200478","12.785222194119","14.3689168067947","20.8799625638871","20.6593216072822","80.4476356609773","111.325303911187","30.3945142169109","35.0296013245953","60.9324088168595","93.658846471248","45.4613037988532","32.4485468783574","35.1184815615403","36.9651290490051","39.3317317435018","42.8110542091901","46.4865878084167","58.6361717179962","55.0049821710286","56.5263637987962","56.3320651081006","60.1330444603556","63.2497794650546","68.3591986213492","70.4894529694388","76.0904194374089","74.2193801418355","76.825275137052","79.052862020896","78.6265278092152","81.906564014111","88.0696276444147","93.8211379438764","93.059558109052","93.7130340291238","96.0578504200866","109.154217111999","103.465634475882","104.790029518543","111.069907833595",
